rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
Base,,0,0.0,8.001959424,1.9403209507465362,6.960984745402922
8,16.0,1843200,3.7706031004587808,7.218599424,1.5402227640151978,4.6656294895921
16,32.0,3686400,4.077062865098317,6.618082304,1.493236780166626,4.451480690036
64,128.0,14745600,3.7722877820332843,8.001959424,1.432112693786621,4.187536836072906
